timestamp,open,high,low,close,volume
2026-01-27 09:15:00+05:30,15300.0,15380.0,15288.0,15288.0,0
2026-01-27 09:20:00+05:30,15264.0,15264.0,15172.0,15180.0,16167
2026-01-27 09:25:00+05:30,15180.0,15185.0,15022.0,15036.0,29231
2026-01-27 09:30:00+05:30,15047.0,15169.0,15045.0,15123.0,11902
2026-01-27 09:35:00+05:30,15113.0,15165.0,15090.0,15162.0,6417
2026-01-27 09:40:00+05:30,15159.0,15239.0,15142.0,15239.0,14445
2026-01-27 09:45:00+05:30,15234.0,15256.0,15226.0,15253.0,7592
2026-01-27 09:50:00+05:30,15253.0,15258.0,15195.0,15203.0,6605
2026-01-27 09:55:00+05:30,15194.0,15220.0,15174.0,15220.0,4342
2026-01-27 10:00:00+05:30,15220.0,15228.0,15190.0,15190.0,2710
2026-01-27 10:05:00+05:30,15173.0,15178.0,15131.0,15146.0,7505
2026-01-27 10:10:00+05:30,15145.0,15218.0,15137.0,15218.0,6983
2026-01-27 10:15:00+05:30,15214.0,15228.0,15170.0,15225.0,11524
2026-01-27 10:20:00+05:30,15224.0,15244.0,15210.0,15210.0,6058
2026-01-27 10:25:00+05:30,15216.0,15225.0,15161.0,15164.0,20194
2026-01-27 10:30:00+05:30,15165.0,15175.0,15138.0,15160.0,12121
2026-01-27 10:35:00+05:30,15160.0,15195.0,15160.0,15182.0,5120
2026-01-27 10:40:00+05:30,15181.0,15197.0,15165.0,15170.0,5862
2026-01-27 10:45:00+05:30,15169.0,15190.0,15132.0,15144.0,4309
2026-01-27 10:50:00+05:30,15141.0,15143.0,15074.0,15088.0,7813
2026-01-27 10:55:00+05:30,15083.0,15086.0,15031.0,15031.0,7175
2026-01-27 11:00:00+05:30,15031.0,15080.0,15015.0,15059.0,7641
2026-01-27 11:05:00+05:30,15052.0,15079.0,15046.0,15063.0,5636
2026-01-27 11:10:00+05:30,15069.0,15069.0,15057.0,15062.0,3786
2026-01-27 11:15:00+05:30,15068.0,15109.0,15058.0,15100.0,5307
2026-01-27 11:20:00+05:30,15100.0,15104.0,15078.0,15097.0,3604
2026-01-27 11:25:00+05:30,15092.0,15130.0,15086.0,15123.0,4420
2026-01-27 11:30:00+05:30,15124.0,15140.0,15076.0,15100.0,6731
2026-01-27 11:35:00+05:30,15093.0,15152.0,15089.0,15152.0,3934
2026-01-27 11:40:00+05:30,15150.0,15180.0,15132.0,15180.0,5393
2026-01-27 11:45:00+05:30,15184.0,15203.0,15146.0,15149.0,8397
2026-01-27 11:50:00+05:30,15148.0,15160.0,15134.0,15134.0,2734
2026-01-27 11:55:00+05:30,15134.0,15169.0,15131.0,15164.0,3551
2026-01-27 12:00:00+05:30,15164.0,15164.0,15148.0,15153.0,2106
2026-01-27 12:05:00+05:30,15155.0,15165.0,15144.0,15151.0,2441
2026-01-27 12:10:00+05:30,15152.0,15166.0,15146.0,15156.0,2486
2026-01-27 12:15:00+05:30,15154.0,15171.0,15135.0,15136.0,3164
2026-01-27 12:20:00+05:30,15134.0,15173.0,15127.0,15163.0,4579
2026-01-27 12:25:00+05:30,15163.0,15186.0,15129.0,15145.0,4138
2026-01-27 12:30:00+05:30,15145.0,15164.0,15129.0,15151.0,2260
2026-01-27 12:35:00+05:30,15151.0,15173.0,15140.0,15173.0,2742
2026-01-27 12:40:00+05:30,15173.0,15192.0,15169.0,15186.0,4628
2026-01-27 12:45:00+05:30,15188.0,15193.0,15150.0,15159.0,3590
2026-01-27 12:50:00+05:30,15157.0,15202.0,15153.0,15198.0,6616
2026-01-27 12:55:00+05:30,15195.0,15201.0,15187.0,15194.0,6194
2026-01-27 13:00:00+05:30,15195.0,15198.0,15165.0,15189.0,2428
2026-01-27 13:05:00+05:30,15186.0,15195.0,15178.0,15195.0,1191
2026-01-27 13:10:00+05:30,15194.0,15200.0,15180.0,15199.0,2665
2026-01-27 13:15:00+05:30,15199.0,15215.0,15196.0,15212.0,3114
2026-01-27 13:20:00+05:30,15212.0,15228.0,15200.0,15219.0,6545
2026-01-27 13:25:00+05:30,15218.0,15236.0,15212.0,15236.0,3954
2026-01-27 13:30:00+05:30,15231.0,15246.0,15214.0,15220.0,5322
2026-01-27 13:35:00+05:30,15214.0,15237.0,15172.0,15178.0,4588
2026-01-27 13:40:00+05:30,15175.0,15199.0,15163.0,15198.0,4508
2026-01-27 13:45:00+05:30,15196.0,15210.0,15184.0,15191.0,4213
2026-01-27 13:50:00+05:30,15193.0,15200.0,15177.0,15179.0,2148
2026-01-27 13:55:00+05:30,15179.0,15185.0,15170.0,15183.0,2217
2026-01-27 14:00:00+05:30,15184.0,15186.0,15155.0,15160.0,1981
2026-01-27 14:05:00+05:30,15161.0,15165.0,15142.0,15146.0,2418
2026-01-27 14:10:00+05:30,15146.0,15174.0,15134.0,15138.0,4007
2026-01-27 14:15:00+05:30,15136.0,15149.0,15129.0,15130.0,8122
2026-01-27 14:20:00+05:30,15130.0,15138.0,15122.0,15130.0,6555
2026-01-27 14:25:00+05:30,15132.0,15159.0,15124.0,15143.0,4534
2026-01-27 14:30:00+05:30,15144.0,15163.0,15126.0,15137.0,4488
2026-01-27 14:35:00+05:30,15134.0,15168.0,15123.0,15168.0,9408
2026-01-27 14:40:00+05:30,15167.0,15183.0,15150.0,15155.0,6661
2026-01-27 14:45:00+05:30,15150.0,15192.0,15150.0,15192.0,8055
2026-01-27 14:50:00+05:30,15192.0,15214.0,15190.0,15204.0,11856
2026-01-27 14:55:00+05:30,15205.0,15214.0,15190.0,15198.0,16710
2026-01-27 15:00:00+05:30,15198.0,15214.0,15188.0,15213.0,20027
2026-01-27 15:05:00+05:30,15214.0,15262.0,15212.0,15247.0,17461
2026-01-27 15:10:00+05:30,15237.0,15256.0,15230.0,15255.0,14285
2026-01-27 15:15:00+05:30,15257.0,15280.0,15250.0,15266.0,16260
2026-01-27 15:20:00+05:30,15269.0,15277.0,15256.0,15277.0,14355
2026-01-27 15:25:00+05:30,15282.0,15299.0,15237.0,15245.0,13955
2026-01-28 09:15:00+05:30,15169.0,15169.0,14873.0,14956.0,0
2026-01-28 09:20:00+05:30,14960.0,15063.0,14956.0,15048.0,21128
2026-01-28 09:25:00+05:30,15046.0,15112.0,15018.0,15077.0,29680
2026-01-28 09:30:00+05:30,15081.0,15100.0,15030.0,15035.0,12281
2026-01-28 09:35:00+05:30,15035.0,15065.0,15030.0,15060.0,18406
2026-01-28 09:40:00+05:30,15062.0,15062.0,14943.0,14956.0,24499
2026-01-28 09:45:00+05:30,14960.0,14967.0,14893.0,14912.0,38327
2026-01-28 09:50:00+05:30,14912.0,14931.0,14877.0,14901.0,9432
2026-01-28 09:55:00+05:30,14909.0,14919.0,14848.0,14868.0,14833
2026-01-28 10:00:00+05:30,14872.0,14897.0,14867.0,14888.0,6157
2026-01-28 10:05:00+05:30,14893.0,14893.0,14862.0,14883.0,12067
2026-01-28 10:10:00+05:30,14884.0,14908.0,14881.0,14908.0,17402
2026-01-28 10:15:00+05:30,14907.0,14923.0,14883.0,14918.0,21707
2026-01-28 10:20:00+05:30,14916.0,14919.0,14833.0,14841.0,47159
2026-01-28 10:25:00+05:30,14845.0,14852.0,14823.0,14826.0,20434
2026-01-28 10:30:00+05:30,14823.0,14841.0,14813.0,14840.0,8360
2026-01-28 10:35:00+05:30,14840.0,14899.0,14838.0,14893.0,6850
2026-01-28 10:40:00+05:30,14888.0,14889.0,14833.0,14840.0,6540
2026-01-28 10:45:00+05:30,14840.0,14848.0,14823.0,14835.0,6707
2026-01-28 10:50:00+05:30,14834.0,14899.0,14829.0,14896.0,17782
2026-01-28 10:55:00+05:30,14899.0,14909.0,14875.0,14893.0,8802
2026-01-28 11:00:00+05:30,14895.0,14943.0,14892.0,14933.0,9052
2026-01-28 11:05:00+05:30,14935.0,14946.0,14915.0,14935.0,5955
2026-01-28 11:10:00+05:30,14932.0,14966.0,14925.0,14956.0,7407
2026-01-28 11:15:00+05:30,14953.0,14966.0,14936.0,14940.0,6444
2026-01-28 11:20:00+05:30,14939.0,14950.0,14927.0,14943.0,5582
2026-01-28 11:25:00+05:30,14943.0,14951.0,14930.0,14948.0,5300
2026-01-28 11:30:00+05:30,14950.0,14958.0,14926.0,14945.0,8981
2026-01-28 11:35:00+05:30,14945.0,14945.0,14924.0,14940.0,3919
2026-01-28 11:40:00+05:30,14939.0,14939.0,14900.0,14909.0,5224
2026-01-28 11:45:00+05:30,14904.0,14904.0,14887.0,14891.0,9412
2026-01-28 11:50:00+05:30,14891.0,14903.0,14879.0,14891.0,5401
2026-01-28 11:55:00+05:30,14892.0,14925.0,14886.0,14920.0,12742
2026-01-28 12:00:00+05:30,14920.0,14968.0,14910.0,14964.0,6010
2026-01-28 12:05:00+05:30,14964.0,14970.0,14945.0,14951.0,7124
2026-01-28 12:10:00+05:30,14951.0,14953.0,14940.0,14945.0,3289
2026-01-28 12:15:00+05:30,14946.0,14954.0,14935.0,14950.0,3833
2026-01-28 12:20:00+05:30,14950.0,14959.0,14925.0,14925.0,4965
2026-01-28 12:25:00+05:30,14925.0,14940.0,14922.0,14927.0,3216
2026-01-28 12:30:00+05:30,14926.0,14986.0,14925.0,14956.0,19710
2026-01-28 12:35:00+05:30,14955.0,14979.0,14940.0,14941.0,6374
2026-01-28 12:40:00+05:30,14941.0,14946.0,14920.0,14931.0,4200
2026-01-28 12:45:00+05:30,14930.0,14941.0,14922.0,14941.0,4437
2026-01-28 12:50:00+05:30,14941.0,14987.0,14941.0,14967.0,6437
2026-01-28 12:55:00+05:30,14967.0,14975.0,14958.0,14961.0,4742
2026-01-28 13:00:00+05:30,14961.0,14979.0,14947.0,14962.0,3773
2026-01-28 13:05:00+05:30,14961.0,14995.0,14957.0,14983.0,5168
2026-01-28 13:10:00+05:30,14983.0,15075.0,14974.0,15045.0,21201
2026-01-28 13:15:00+05:30,15045.0,15132.0,15040.0,15111.0,13226
2026-01-28 13:20:00+05:30,15116.0,15116.0,15006.0,15018.0,12066
2026-01-28 13:25:00+05:30,15023.0,15026.0,15000.0,15009.0,8602
2026-01-28 13:30:00+05:30,15009.0,15043.0,15003.0,15015.0,14407
2026-01-28 13:35:00+05:30,15013.0,15030.0,15002.0,15017.0,3628
2026-01-28 13:40:00+05:30,15017.0,15019.0,14957.0,14960.0,6775
2026-01-28 13:45:00+05:30,14960.0,14991.0,14956.0,14965.0,6449
2026-01-28 13:50:00+05:30,14967.0,14995.0,14962.0,14991.0,4580
2026-01-28 13:55:00+05:30,14990.0,14999.0,14980.0,14994.0,4290
2026-01-28 14:00:00+05:30,14989.0,15019.0,14984.0,15005.0,7287
